BUTY TARANTULA WOMAN-TOPAZ,"375,99",0 of 100,Oceń ten produkt jako pierwszy,"36,5",2025-07-14,"Specyfikacja    Materiał  Cholewka: skóra zamszowa Wyściółka: Pacific (tylko z przodu) Podeszwa środkowa: LaSpoFlex 1,8 mm Podeszwa: FriXion® Black 4 mm    Waga (g)  215 (½ pary)    Kolor  Niebieski"
BUTY X ULTRA 5 WOMEN-WHITE PEPPER-MONUMENT-YELLOW IRIS,"495,99",0 of 100,Oceń ten produkt jako pierwszy,UK 7 (40 2/3),2025-07-14,Specyfikacja    Materiał  Cholewka: MatryxWyściółka: tekstylnaWkładka: OrtholiteŚródpodeszwa: EnergyCellPodeszwa: All Terrain Contagrip    Wyściółka  Materiał tekstylny    Waga (g)  ok. 300 (½ pary)    Kolor  Beżowy
BUTY KATANA LACES WOMEN-WHITE-BLACK,"655,99",0 of 100,Oceń ten produkt jako pierwszy,"36,5 36",2025-07-14,"Specyfikacja    Materiał  mikrofibra, zamsz    Waga (g)  215    Kolor  Czarny"
BUTY PUEZ 2 MID PTX WOMEN-BLACK-BLACK,"756,59",0 of 100,Oceń ten produkt jako pierwszy,"UK 4,5 (37) UK 5 (38) UK 5,5 (38,5) UK 6 (39) UK 6,5 (40) UK 7 (40,5) UK 7,5 (41)",2025-07-14,"Specyfikacja    Materiał  Cholewka: materiał syntetyczny, membrana PowertexWkładka: CFF z Volume ReducerŚródpodeszwa: pianka EVAPodeszwa zewnętrzna: Pomoca Alpine Trekker    Kolor  Czarny"
BUTY PUEZ 2 MID PTX WOMEN-DARK OLIVE-SHADOW,"775,99",0 of 100,Oceń ten produkt jako pierwszy,"UK 5 (38) UK 5,5 (38,5)",2025-07-14,"Specyfikacja    Materiał  Cholewka: materiał syntetyczny, membrana PowertexWkładka: CFF z Volume ReducerŚródpodeszwa: pianka EVAPodeszwa zewnętrzna: Pomoca Alpine Trekker    Kolor  Wielokolorowy"
BUTY TX5 GTX WOMEN-CARBON-PAPRICA,"939,99",0 of 100,Oceń ten produkt jako pierwszy,"37,5 38,5 39,5 40,5 41,5 37 39 41",2025-07-14,Specyfikacja    Materiał  cholewka:nubukmembrana: GORE-TEX® Extended Comfortpodeszwa:Vibram MegaGrip    GoreTex  Tak    Waga (g)  440    Kolor  Szary
SANDAŁY SUPER HIKE LEATHER  WOMEN-MIDNIGHT BLUE-ZINFANDEL RED,"579,99",0 of 100,Oceń ten produkt jako pierwszy,"UK 4 (37) UK 5 (38) UK 6 (39) UK 6,5 (40) UK 7,5 (41)",2025-07-14,Specyfikacja    Materiał  SkóraPodeszwa zewnętrzna: mieszanka gum Hike GripPodeszwa wewnętrzna: pianka PUWyściółka: skóra zamszowa     Waga (g)  280 (jeden sandał)     Kolor  Niebieski
SANDAŁY HYPERPORT H2 WOMEN-ALLOY-SKYWAY,"374,99",0 of 100,Oceń ten produkt jako pierwszy,"UK 4,5 (37,5) UK 5 (38) UK 5,5 (38,5) UK 6 (39) UK 6,5 (39,5) UK 7 (40) UK 7,5 (40,5)",2025-07-14,Specyfikacja    Materiał  Paski: poliester     Kolor  Biały
SANDAŁY LEIKI OT SANDAL-MARTINI OLIVE-GRANITE GREEN,"350,99",0 of 100,Oceń ten produkt jako pierwszy,"UK 3,5 (36) UK 4,5 (37,5) UK 5,5 (38,5) UK 6,5 (39,5) UK 7 (40) UK 7,5 (40,5)",2025-07-14,Specyfikacja    Materiał  Paski: poliester    Kolor  Zielony
SANDAŁY ASTORIA WEST-NAVAL ACADEMY-REEF WATERS,"389,99",0 of 100,Oceń ten produkt jako pierwszy,"UK 3,5 (36) UK 4 (37) UK 4,5 (37,5) UK 5 (38) UK 5,5 (38,5) UK 6 (39) UK 6,5 (39,5) UK 7 (40) UK 7,5 (40,5)",2025-07-14,"Specyfikacja    Materiał  Cholewka: skóra naturalna, materiał syntetyczny z recyklingu Wkładka: pianka EVA Podeszwa środkowa: pianka EVA Podeszwa zewnętrzna: guma Aquagrip z lamelami Aqua Stop    Kolor  Niebieski"
