BUTY TRANSALPER 2 MID GTX-BLUEBERRY-FALLEN ROCK,"730,99",0 of 100,Oceń ten produkt jako pierwszy,"UK 8,5 (42,5) UK 9 (43) UK 9,5 (44) UK 10 (44,5) UK 10,5 (45)",2025-07-14,Specyfikacja    Materiał  Cholewka: Gore-TexPodeszwa: Vibram® Megagrip     GoreTex  Tak    Waga (g)  360    Kolor  Niebieski
BUTY TX4 EVO GTX-CARBON-CHERRY TOMATO,"892,49",0 of 100,Oceń ten produkt jako pierwszy,"40,5 41,5 44,5 45,5 43 44",2025-07-14,"Specyfikacja    Materiał    Cholewka: zamsz, Gore-Tex® Extended Comfort ze standardem bluesignWkładka: Ortholite® Hybrid Approach 4 mmPodeszwa środkowa: EVAPodeszwa zewnętrzna: Vibram® Megagrip    Waga  ok. 445 (½ pary)    Kolor  Szary"
BUTY KATANA LACES WOMEN-WHITE-BLACK,"655,99",0 of 100,Oceń ten produkt jako pierwszy,"36,5 36",2025-07-14,"Specyfikacja    Materiał  mikrofibra, zamsz    Waga (g)  215    Kolor  Czarny"
BUTY PUEZ 2 MID PTX-GOLDEN BROWN-SHADOW,"775,99",0 of 100,Oceń ten produkt jako pierwszy,"UK 7,5 (41) UK 8 (42) UK 8,5 (42,5) UK 9 (43) UK 9,5 (44) UK 10 (44,5) UK 10,5 (45) UK 11 (46)",2025-07-14,"Specyfikacja    Materiał  Cholewka: materiał syntetyczny, membrana PowertexWkładka: CFF z Volume ReducerŚródpodeszwa: pianka EVAPodeszwa zewnętrzna: Pomoca Alpine Trekker    Waga (g)  480    Kolor  Wielokolorowy"
BUTY PUEZ 2 MID PTX-BLACK-BLACK,"756,59",0 of 100,Oceń ten produkt jako pierwszy,"UK 8 (42) UK 8,5 (42,5) UK 9 (43) UK 9,5 (44) UK 10 (44,5) UK 10,5 (45) UK 11 (46) UK 11,5 (46,5) UK 13 (48,5)",2025-07-14,"Specyfikacja    Materiał  Cholewka: materiał syntetyczny, membrana PowertexWkładka: CFF z Volume ReducerŚródpodeszwa: pianka EVAPodeszwa zewnętrzna: Pomoca Alpine Trekker    Waga (g)  480    Kolor  Czarny"
BOTKI PUCHOWE DUCK DOWN FOOT COVER CYY2441FS011-BLACK,"149,99",0 of 100,Oceń ten produkt jako pierwszy,M (40-43) L (44-47) S (36-39),2025-07-14,Specyfikacja    Materiał  Poliamid; wypełnienie: puch kaczy 700 cui – 40 g    Waga (g)  200    Kolor  Czarny
BUTY RENEGADE GTX MID-DUNKELGRAU,"794,99",0 of 100,Oceń ten produkt jako pierwszy,"UK 8,5 (42,5)",2025-07-14,Specyfikacja    Materiał  cholewka – skóra nubukowa;membrana: GORE-TEX®; podeszwa - Vibram EVO; podeszwa środkowa – poliuretan 100    GoreTex  Tak    Waga (g)  1170    Kolor  Granatowy
BUTY TONALE GTX-BLACK-RED,"1023,99",100 of 100,(Liczba opinii:  1),41,2025-07-14,"Specyfikacja    Materiał  Materiał: skóra welurowa / Mesh, Podszewka: GORE-TEX® Performance Comfort Footwear,Wkładka:  AIR-ACTIVE®,Podeszwa: Vibram® + zintegrowany stabilizator i amortyzator EVA    GoreTex  Tak    Waga  530 g (jeden but)    Kolor  Black-red"
BUTY TX5 GTX-CARBON-YELLOW,"939,99",0 of 100,Oceń ten produkt jako pierwszy,"41,5 44,5 46",2025-07-14,Specyfikacja    Materiał  cholewka:nubukmembrana: GORE-TEX® Extended Comfortpodeszwa:Vibram MegaGrip    GoreTex  Tak    Waga (g)  525    Kolor  Szary
BUTY TX5 LOW GTX-CARBON-YELLOW,"855,99",100 of 100,(Liczba opinii:  1),"42,5 45,5 44",2025-07-14,"Specyfikacja    GoreTex  Tak    Materiał  Cholewka: nubuk, Gore-Tex® Extended ComfortWkładka: Ortholite® Approach 4 mmŚródpodeszwa: PPE 2,5 mm, Injected EVA + STB Control SystemPodeszwa: Vibram® MegaGrip    Kolor  Szary"
